Quotes,Author
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"<small class=""author"" itemprop=""author"">Albert Einstein</small>"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","<small class=""author"" itemprop=""author"">J.K. Rowling</small>"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"<small class=""author"" itemprop=""author"">Albert Einstein</small>"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","<small class=""author"" itemprop=""author"">Jane Austen</small>"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","<small class=""author"" itemprop=""author"">Marilyn Monroe</small>"
“Try not to become a man of success. Rather become a man of value.”,"<small class=""author"" itemprop=""author"">Albert Einstein</small>"
“It is better to be hated for what you are than to be loved for what you are not.”,"<small class=""author"" itemprop=""author"">André Gide</small>"
"“I have not failed. I've just found 10,000 ways that won't work.”","<small class=""author"" itemprop=""author"">Thomas A. Edison</small>"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,"<small class=""author"" itemprop=""author"">Eleanor Roosevelt</small>"
"“A day without sunshine is like, you know, night.”","<small class=""author"" itemprop=""author"">Steve Martin</small>"
